Running SLURM prolog script on pink52.cluster.local
===============================================================================
Job started on Wed Mar  5 16:54:54 GMT 2025
Job ID          : 7138973
Job name        : plm_c10_idn_02
WorkDir         : /mainfs/scratch/dk2g21/PLM
Command         : /mainfs/scratch/dk2g21/PLM/plm_ncd.slurm
Partition       : lyceum
Num hosts       : 1
Num cores       : 8
Num of tasks    : 1
Hosts allocated : pink52
Job Output Follows ...
===============================================================================
Wed Mar  5 16:54:55 2025       
+---------------------------------------------------------------------------------------+
| NVIDIA-SMI 535.104.05             Driver Version: 535.104.05   CUDA Version: 12.2     |
|-----------------------------------------+----------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |         Memory-Usage | GPU-Util  Compute M. |
|                                         |                      |               MIG M. |
|=========================================+======================+======================|
|   0  NVIDIA GeForce GTX 1080 Ti     Off | 00000000:82:00.0 Off |                  N/A |
| 23%   36C    P8              10W / 250W |      0MiB / 11264MiB |      0%      Default |
|                                         |                      |                  N/A |
+-----------------------------------------+----------------------+----------------------+
|   1  NVIDIA GeForce GTX 1080 Ti     Off | 00000000:83:00.0 Off |                  N/A |
| 36%   46C    P8               9W / 250W |      0MiB / 11264MiB |      0%      Default |
|                                         |                      |                  N/A |
+-----------------------------------------+----------------------+----------------------+
                                                                                         
+---------------------------------------------------------------------------------------+
| Processes:                                                                            |
|  GPU   GI   CI        PID   Type   Process name                            GPU Memory |
|        ID   ID                                                             Usage      |
|=======================================================================================|
|  No running processes found                                                           |
+---------------------------------------------------------------------------------------+
Starting main function...
Patching CIFAR-10 raw data...
Running in NCD Mode: Splitting CIFAR-10 into known and novel classes.
Dataset loaded successfully!
Generating noise labels...
Real noise rate:  0.2016
Generated noise_labels shape: 25000 (Expected: 25000)
----------------Labeling----------------
Size of ordinary_train_dataset: 25000
Size of noise_labels: 25000
Filtering training dataset for known classes in prenp.
Starting prenp training for candidate labeling...
Prenp Epoch 0 complete. Avg Loss = 1.0237
Prenp Epoch 1 complete. Avg Loss = 0.7380
Prenp Epoch 2 complete. Avg Loss = 0.5718
Prenp Epoch 3 complete. Avg Loss = 0.4733
Prenp Epoch 4 complete. Avg Loss = 0.4145
Prenp Epoch 5 complete. Avg Loss = 0.3733
Prenp Epoch 6 complete. Avg Loss = 0.3306
Prenp Epoch 7 complete. Avg Loss = 0.3124
Prenp Epoch 8 complete. Avg Loss = 0.2869
Prenp Epoch 9 complete. Avg Loss = 0.2640
Prenp Epoch 10 complete. Avg Loss = 0.2538
Prenp Epoch 11 complete. Avg Loss = 0.2298
Prenp Epoch 12 complete. Avg Loss = 0.2280
Prenp Epoch 13 complete. Avg Loss = 0.2162
Prenp Epoch 14 complete. Avg Loss = 0.2111
Prenp Epoch 15 complete. Avg Loss = 0.2114
Prenp Epoch 16 complete. Avg Loss = 0.2093
Prenp Epoch 17 complete. Avg Loss = 0.2107
Prenp Epoch 18 complete. Avg Loss = 0.1905
Prenp Epoch 19 complete. Avg Loss = 0.2001
Prenp Epoch 20 complete. Avg Loss = 0.1828
Prenp Epoch 21 complete. Avg Loss = 0.1863
Prenp Epoch 22 complete. Avg Loss = 0.1785
Prenp Epoch 23 complete. Avg Loss = 0.1790
Prenp Epoch 24 complete. Avg Loss = 0.1794
Prenp Epoch 25 complete. Avg Loss = 0.1717
Prenp Epoch 26 complete. Avg Loss = 0.1779
Prenp Epoch 27 complete. Avg Loss = 0.1678
Prenp Epoch 28 complete. Avg Loss = 0.1751
Prenp Epoch 29 complete. Avg Loss = 0.1590
Prenp Epoch 30 complete. Avg Loss = 0.1641
Prenp Epoch 31 complete. Avg Loss = 0.1775
Prenp Epoch 32 complete. Avg Loss = 0.1574
Prenp Epoch 33 complete. Avg Loss = 0.1674
Prenp Epoch 34 complete. Avg Loss = 0.1520
Prenp Epoch 35 complete. Avg Loss = 0.1685
Prenp Epoch 36 complete. Avg Loss = 0.1596
Prenp Epoch 37 complete. Avg Loss = 0.1626
Prenp Epoch 38 complete. Avg Loss = 0.1545
Prenp Epoch 39 complete. Avg Loss = 0.1711
Prenp Epoch 40 complete. Avg Loss = 0.1504
Prenp Epoch 41 complete. Avg Loss = 0.1543
Prenp Epoch 42 complete. Avg Loss = 0.1620
Prenp Epoch 43 complete. Avg Loss = 0.1497
Prenp Epoch 44 complete. Avg Loss = 0.1599
Prenp Epoch 45 complete. Avg Loss = 0.1601
Prenp Epoch 46 complete. Avg Loss = 0.1570
Prenp Epoch 47 complete. Avg Loss = 0.1461
Prenp Epoch 48 complete. Avg Loss = 0.1632
Prenp Epoch 49 complete. Avg Loss = 0.1489
Prenp Epoch 50 complete. Avg Loss = 0.1607
Prenp Epoch 51 complete. Avg Loss = 0.1627
Prenp Epoch 52 complete. Avg Loss = 0.1564
Prenp Epoch 53 complete. Avg Loss = 0.1485
